Destination,Description,StartDate,EndDate,Status
Vung Tau,Di cham bien cung Bet,26/04/2025,27/04/2025,Completed
Ho Chi Minh,Di cham co cung Bet,07/06/2025,07/06/2025,Completed
Da Lat,Kham pha thanh pho suong mu cung nhom,12/07/2025,14/07/2025,Cancelled
Phu Quoc,Nghi duong bien dao cung nhom ban,05/09/2025,09/09/2025,Completed
Ha Noi,Tham thu do ngan nam van hien,20/11/2025,24/11/2025,Cancelled
Sapa,Trekking vung nui Tay Bac,03/01/2026,06/01/2026,Ongoing
Nha Trang,Tam bien va lan ngam san ho,18/03/2026,22/03/2026,Planned
Can Tho,Trai nghiem mien Tay song nuoc,10/05/2026,11/05/2026,Cancelled
Ha Long Bay,Du thuyen va kham pha vinh Ha Long,01/08/2026,03/08/2026,Completed
Da Nang,Du lich bien va nui ngu hanh son,15/09/2026,18/09/2026,Completed
Vinh Hy Bay,Lan bien ngam san ho tai vinh Vinh Hy,15/10/2026,17/10/2026,Completed
Ninh Binh,Tham quan danh lam thang canh co do,02/12/2026,04/12/2026,Completed
